avg_T51,avg_T106,avg_T107,avg_T227,avg_T108,size,coordx,coordy,Label_id,batch_label,batch_label_color
2.9979472160339355,2.7625808715820312,2.2546167373657227,2.8333635330200195,2.880136728286743,39.0,57.870330810546875,-3.2379825115203857,0,3,#1f77b4
3.98030686378479,2.9171946048736572,2.8877522945404053,2.8882017135620117,2.8381690979003906,60.0,49.25959396362305,32.997554779052734,1,3,#1f77b4
2.4022910594940186,2.083157777786255,2.8583619594573975,3.591601610183716,4.2795305252075195,10.0,3.3435776233673096,-64.51595306396484,2,4,#aec7e8
2.7812068462371826,2.2037880420684814,4.015355587005615,2.7664496898651123,3.8004367351531982,12.0,23.705202102661133,-16.886777877807617,3,0,#ff7f0e
2.8642234802246094,2.1304478645324707,3.723823308944702,2.385831356048584,2.9695751667022705,103.0,-16.470897674560547,86.37883758544922,4,0,#ff7f0e
4.0260443687438965,3.2410075664520264,4.427148818969727,3.6554737091064453,3.6042566299438477,23.0,23.63465690612793,6.106895923614502,5,4,#aec7e8
3.7581307888031006,2.3496663570404053,2.4414966106414795,1.6246384382247925,2.104280948638916,7.0,-41.6611328125,20.087129592895508,6,2,#ffbb78
3.0653109550476074,1.5244686603546143,2.1909475326538086,1.9352638721466064,1.486647605895996,8.0,34.22299575805664,-48.79756164550781,7,2,#ffbb78
3.0543570518493652,2.5001115798950195,3.1797378063201904,2.678072929382324,2.6981987953186035,100.0,31.140518188476562,-32.3855094909668,8,0,#ff7f0e
3.121042013168335,0.9855776429176331,2.484255075454712,2.40718150138855,1.4855748414993286,12.0,-26.310041427612305,1.9776147603988647,9,2,#ffbb78
3.1345434188842773,2.8856399059295654,2.7195096015930176,2.614410638809204,2.5509114265441895,61.0,-14.687752723693848,-45.79285430908203,10,3,#1f77b4
4.306083679199219,2.1202292442321777,2.9006540775299072,2.4651057720184326,2.630007743835449,40.0,-41.573516845703125,69.35737609863281,11,2,#ffbb78
2.809450626373291,4.205630302429199,1.8630709648132324,1.8906749486923218,2.2986576557159424,22.0,-42.096561431884766,-1.7936878204345703,12,1,#2ca02c
3.9824202060699463,3.279031753540039,2.1854188442230225,4.386478900909424,2.3146185874938965,27.0,24.878259658813477,-73.48274993896484,13,3,#1f77b4
2.7458794116973877,2.2041711807250977,2.620285987854004,2.858459949493408,1.9958090782165527,15.0,21.937036514282227,-1.9969918727874756,14,3,#1f77b4
2.814979076385498,2.562565803527832,1.560742735862732,2.2762136459350586,1.4468477964401245,17.0,-67.27618408203125,53.25836944580078,15,3,#1f77b4
4.663386344909668,2.3867411613464355,1.652779221534729,2.292509078979492,1.8139482736587524,8.0,-25.05458641052246,37.49653244018555,16,2,#ffbb78
2.900430917739868,2.7775871753692627,2.519627809524536,2.7949090003967285,2.6143343448638916,47.0,30.8034610748291,-27.39267921447754,17,3,#1f77b4
2.9683239459991455,2.9253196716308594,5.211634159088135,2.3284049034118652,3.5561420917510986,24.0,-84.3512954711914,-4.643407821655273,18,0,#ff7f0e
3.9793314933776855,3.420072555541992,2.2925589084625244,2.8643851280212402,2.650928020477295,20.0,-32.103515625,-45.96074676513672,19,3,#1f77b4
2.6696832180023193,2.0938961505889893,4.318277835845947,1.9546843767166138,2.9921646118164062,14.0,17.13022804260254,2.476193904876709,20,0,#ff7f0e
4.282985210418701,3.1622023582458496,3.4224319458007812,2.484801769256592,1.9863982200622559,22.0,-46.11323547363281,-46.944053649902344,21,2,#ffbb78
4.528679370880127,1.8641935586929321,2.7602667808532715,2.8340299129486084,2.7708499431610107,10.0,3.7822718620300293,27.658519744873047,22,2,#ffbb78
2.796968698501587,2.621394157409668,2.4105005264282227,2.8300445079803467,2.7203123569488525,29.0,-16.444564819335938,-62.764591217041016,23,3,#1f77b4
2.791259288787842,2.2669498920440674,1.442500352859497,1.1689248085021973,2.0222420692443848,29.0,44.22537612915039,18.770671844482422,24,1,#2ca02c
2.844881772994995,2.4182870388031006,3.7124698162078857,2.3732147216796875,3.346754789352417,24.0,16.29654312133789,78.2788314819336,25,0,#ff7f0e
3.1279053688049316,2.218607187271118,3.8696436882019043,2.525667428970337,3.422879934310913,32.0,33.775753021240234,-18.797565460205078,26,0,#ff7f0e
3.5559091567993164,3.5431652069091797,2.199516773223877,2.1058738231658936,2.317349910736084,36.0,69.74657440185547,13.02476978302002,27,1,#2ca02c
3.764028310775757,2.632246255874634,2.210749387741089,3.0423696041107178,3.6253767013549805,39.0,39.508304595947266,-2.4496681690216064,28,3,#1f77b4
1.866249918937683,1.9853516817092896,2.3321282863616943,2.6864635944366455,4.174169063568115,45.0,-73.44664001464844,-27.173030853271484,29,4,#aec7e8
1.6555660963058472,1.4506808519363403,1.4474343061447144,2.0685017108917236,1.5797404050827026,121.0,-3.535512924194336,-28.042030334472656,30,3,#1f77b4
4.399570941925049,1.6872280836105347,2.1165995597839355,2.212897300720215,1.7765477895736694,13.0,-28.511411666870117,3.184938669204712,31,2,#ffbb78
2.576749324798584,3.3312110900878906,3.7530295848846436,2.0260608196258545,1.3076715469360352,16.0,-20.51592254638672,-36.52599334716797,32,1,#2ca02c
3.8175063133239746,2.8798983097076416,4.8226423263549805,2.7461488246917725,1.9479246139526367,51.0,6.284886837005615,51.553653717041016,33,0,#ff7f0e
3.4461774826049805,4.62153959274292,3.6942498683929443,2.857386589050293,4.012026786804199,12.0,48.32468795776367,22.210779190063477,34,1,#2ca02c
2.344003915786743,2.1294302940368652,3.4837727546691895,3.1283998489379883,3.7213940620422363,80.0,13.64006233215332,77.45942687988281,35,4,#aec7e8
3.0749709606170654,1.6572264432907104,2.7093989849090576,2.1573541164398193,1.5958538055419922,32.0,10.150697708129883,-18.712907791137695,36,2,#ffbb78
3.4544615745544434,2.9061312675476074,4.202587604522705,1.3593320846557617,1.405825138092041,25.0,-75.7375259399414,-0.6212490200996399,37,0,#ff7f0e
3.649630308151245,2.6072089672088623,3.8540360927581787,3.140501022338867,3.0271263122558594,48.0,38.79458236694336,48.69315719604492,38,0,#ff7f0e
2.460277557373047,1.722961187362671,2.64973783493042,2.8099019527435303,2.9999165534973145,33.0,50.26122283935547,-64.01359558105469,39,4,#aec7e8
0.987716019153595,1.9800729751586914,2.161757230758667,2.5016016960144043,1.194109320640564,12.0,-5.440938472747803,-23.07689666748047,40,4,#aec7e8
2.142784833908081,1.1378834247589111,2.5945751667022705,2.129560708999634,1.9803231954574585,6.0,-4.733914375305176,-12.82055950164795,41,0,#ff7f0e
3.0536482334136963,2.2182466983795166,1.4776421785354614,2.98140025138855,2.1842703819274902,41.0,30.726911544799805,-7.121267318725586,42,3,#1f77b4
2.5723814964294434,2.582657814025879,4.308719158172607,3.1481707096099854,2.4920613765716553,50.0,88.81756591796875,-5.397105693817139,43,0,#ff7f0e
