,max_pair,max_score,phar1,phar2
37,180149_conf1-300073_conf1,0.4074,180149,300073
38,180149_conf5-686688_conf4,0.3526,180149,686688
39,180149_conf5-1057366_conf5,0.295,180149,1057366
40,180149_conf5-1344120_conf4,0.3124,180149,1344120
41,180149_conf3-625220_conf1,0.4038,180149,625220
42,180149_conf2-1749378_conf5,0.308,180149,1749378
43,2071070_conf4-2091423_conf1,0.2798,2071070,2091423
44,2071070_conf4-686751_conf5,0.5218,2071070,686751
45,2071070_conf4-341385_conf5,0.3908,2071070,341385
46,2071070_conf3-1332919_conf2,0.1569,2071070,1332919
47,2071070_conf4-88308_conf1,0.322,2071070,88308
48,2071070_conf2-398496_conf2,0.3954,2071070,398496
49,2071070_conf5-262350_conf1,0.2967,2071070,262350
50,2071070_conf1-248542_conf3,0.3122,2071070,248542
51,2071070_conf4-350714_conf4,0.4178,2071070,350714
52,2071070_conf2-180054_conf4,0.3292,2071070,180054
53,2071070_conf5-398455_conf3,0.469,2071070,398455
54,2071070_conf5-2361_conf4,0.3266,2071070,2361
55,2071070_conf1-514141_conf1,0.2767,2071070,514141
56,2071070_conf1-514142_conf4,0.265,2071070,514142
57,2071070_conf5-300073_conf2,0.2713,2071070,300073
58,2071070_conf1-686688_conf3,0.397,2071070,686688
59,2071070_conf5-1057366_conf5,0.1746,2071070,1057366
60,2071070_conf2-1344120_conf2,0.2477,2071070,1344120
61,2071070_conf4-625220_conf4,0.4354,2071070,625220
62,2071070_conf2-1749378_conf5,0.3835,2071070,1749378
63,2091423_conf3-686751_conf4,0.3264,2091423,686751
64,2091423_conf4-341385_conf2,0.2441,2091423,341385
65,2091423_conf2-1332919_conf1,0.2506,2091423,1332919
66,2091423_conf5-88308_conf2,0.326,2091423,88308
67,2091423_conf4-398496_conf2,0.3304,2091423,398496
68,2091423_conf1-262350_conf1,0.2428,2091423,262350
69,2091423_conf5-248542_conf1,0.2478,2091423,248542
70,2091423_conf5-350714_conf2,0.3344,2091423,350714
71,2091423_conf4-180054_conf2,0.3407,2091423,180054
72,2091423_conf4-398455_conf3,0.3357,2091423,398455
73,2091423_conf2-2361_conf2,0.3032,2091423,2361
74,2091423_conf5-514141_conf5,0.3203,2091423,514141
75,2091423_conf4-514142_conf2,0.2639,2091423,514142
76,2091423_conf3-300073_conf3,0.2605,2091423,300073
77,2091423_conf3-686688_conf4,0.3661,2091423,686688
78,2091423_conf1-1057366_conf3,0.2343,2091423,1057366
79,2091423_conf2-1344120_conf5,0.3016,2091423,1344120
80,2091423_conf2-625220_conf4,0.336,2091423,625220
81,2091423_conf3-1749378_conf2,0.3576,2091423,1749378
82,686751_conf3-341385_conf2,0.4009,686751,341385
83,686751_conf1-1332919_conf2,0.2447,686751,1332919
84,686751_conf2-88308_conf5,0.2985,686751,88308
85,686751_conf3-398496_conf3,0.5138,686751,398496
86,686751_conf1-262350_conf3,0.4305,686751,262350
87,686751_conf2-248542_conf3,0.3456,686751,248542
88,686751_conf1-350714_conf5,0.5275,686751,350714
89,686751_conf3-180054_conf5,0.4201,686751,180054
90,686751_conf3-398455_conf1,0.381,686751,398455
91,686751_conf2-2361_conf5,0.3642,686751,2361
92,686751_conf5-514141_conf4,0.2937,686751,514141
93,686751_conf3-514142_conf4,0.3089,686751,514142
94,686751_conf2-300073_conf4,0.3156,686751,300073
95,686751_conf3-686688_conf3,0.68,686751,686688
96,686751_conf3-1057366_conf5,0.2453,686751,1057366
97,686751_conf3-1344120_conf4,0.3424,686751,1344120
98,686751_conf5-625220_conf1,0.3701,686751,625220
99,686751_conf2-1749378_conf4,0.3149,686751,1749378
100,341385_conf4-1332919_conf2,0.2394,341385,1332919
101,341385_conf3-88308_conf3,0.3126,341385,88308
102,341385_conf1-398496_conf5,0.3259,341385,398496
103,341385_conf4-262350_conf5,0.3535,341385,262350
104,341385_conf2-248542_conf4,0.2722,341385,248542
105,341385_conf5-350714_conf3,0.3537,341385,350714
106,341385_conf1-180054_conf4,0.3111,341385,180054
107,341385_conf2-398455_conf4,0.3275,341385,398455
108,341385_conf4-2361_conf5,0.3853,341385,2361
109,341385_conf4-514141_conf1,0.2449,341385,514141
110,341385_conf2-514142_conf1,0.2885,341385,514142
111,341385_conf5-300073_conf5,0.3116,341385,300073
112,341385_conf2-686688_conf3,0.3933,341385,686688
113,341385_conf3-1057366_conf4,0.2116,341385,1057366
114,341385_conf5-1344120_conf2,0.309,341385,1344120
115,341385_conf1-625220_conf5,0.3985,341385,625220
116,341385_conf3-1749378_conf4,0.3542,341385,1749378
117,1332919_conf3-88308_conf3,0.2152,1332919,88308
118,1332919_conf3-398496_conf1,0.2531,1332919,398496
119,1332919_conf5-262350_conf1,0.2644,1332919,262350
120,1332919_conf2-248542_conf4,0.2262,1332919,248542
121,1332919_conf2-350714_conf2,0.3375,1332919,350714
122,1332919_conf2-180054_conf4,0.3174,1332919,180054
123,1332919_conf2-398455_conf5,0.3535,1332919,398455
124,1332919_conf2-2361_conf5,0.2763,1332919,2361
125,1332919_conf3-514141_conf1,0.2133,1332919,514141
126,1332919_conf1-514142_conf5,0.2203,1332919,514142
127,1332919_conf3-300073_conf2,0.3585,1332919,300073
128,1332919_conf2-686688_conf1,0.2233,1332919,686688
129,1332919_conf3-1057366_conf2,0.3049,1332919,1057366
130,1332919_conf3-1344120_conf4,0.2844,1332919,1344120
131,1332919_conf3-625220_conf5,0.3054,1332919,625220
132,1332919_conf3-1749378_conf5,0.2591,1332919,1749378
133,88308_conf1-398496_conf4,0.2987,88308,398496
134,88308_conf4-262350_conf4,0.245,88308,262350
135,88308_conf4-248542_conf3,0.2449,88308,248542
136,88308_conf5-350714_conf3,0.2364,88308,350714
137,88308_conf3-180054_conf4,0.3906,88308,180054
138,88308_conf5-398455_conf3,0.3592,88308,398455
139,88308_conf1-2361_conf3,0.2626,88308,2361
140,88308_conf1-514141_conf1,0.2837,88308,514141
141,88308_conf1-514142_conf2,0.327,88308,514142
142,88308_conf4-300073_conf3,0.2935,88308,300073
143,88308_conf2-686688_conf4,0.3557,88308,686688
144,88308_conf4-1057366_conf1,0.1993,88308,1057366
145,88308_conf4-1344120_conf4,0.3131,88308,1344120
146,88308_conf4-625220_conf3,0.3773,88308,625220
147,88308_conf5-1749378_conf4,0.3886,88308,1749378
148,398496_conf1-262350_conf3,0.3964,398496,262350
149,398496_conf3-248542_conf1,0.3478,398496,248542
150,398496_conf2-350714_conf3,0.4595,398496,350714
151,398496_conf4-180054_conf3,0.5751,398496,180054
152,398496_conf2-398455_conf4,0.3946,398496,398455
153,398496_conf2-2361_conf1,0.3552,398496,2361
154,398496_conf5-514141_conf4,0.2997,398496,514141
155,398496_conf1-514142_conf4,0.3245,398496,514142
156,398496_conf4-300073_conf3,0.3032,398496,300073
157,398496_conf2-686688_conf1,0.3996,398496,686688
158,398496_conf2-1057366_conf2,0.2582,398496,1057366
159,398496_conf3-1344120_conf5,0.3839,398496,1344120
160,398496_conf2-625220_conf2,0.4154,398496,625220
161,398496_conf5-1749378_conf4,0.3877,398496,1749378
162,262350_conf5-248542_conf1,0.4939,262350,248542
163,262350_conf5-350714_conf1,0.5174,262350,350714
164,262350_conf1-180054_conf1,0.3649,262350,180054
165,262350_conf4-398455_conf2,0.3194,262350,398455
166,262350_conf5-2361_conf5,0.8722,262350,2361
167,262350_conf1-514141_conf4,0.2873,262350,514141
168,262350_conf1-514142_conf5,0.2626,262350,514142
169,262350_conf1-300073_conf5,0.3298,262350,300073
170,262350_conf1-686688_conf5,0.4018,262350,686688
171,262350_conf1-1057366_conf1,0.2358,262350,1057366
172,262350_conf1-1344120_conf3,0.3645,262350,1344120
173,262350_conf5-625220_conf2,0.4152,262350,625220
174,262350_conf1-1749378_conf2,0.338,262350,1749378
175,248542_conf4-350714_conf1,0.4487,248542,350714
176,248542_conf3-180054_conf1,0.3268,248542,180054
177,248542_conf4-398455_conf5,0.3264,248542,398455
178,248542_conf1-2361_conf2,0.4353,248542,2361
179,248542_conf4-514141_conf2,0.2681,248542,514141
180,248542_conf5-514142_conf2,0.2442,248542,514142
181,248542_conf4-300073_conf2,0.2715,248542,300073
182,248542_conf1-686688_conf2,0.3146,248542,686688
183,248542_conf3-1057366_conf3,0.1827,248542,1057366
184,248542_conf2-1344120_conf5,0.2503,248542,1344120
185,248542_conf2-625220_conf1,0.3647,248542,625220
186,248542_conf4-1749378_conf5,0.3666,248542,1749378
187,350714_conf3-180054_conf5,0.3689,350714,180054
188,350714_conf1-398455_conf2,0.373,350714,398455
189,350714_conf1-2361_conf3,0.582,350714,2361
190,350714_conf1-514141_conf5,0.3099,350714,514141
191,350714_conf5-514142_conf2,0.2765,350714,514142
192,350714_conf1-300073_conf2,0.3251,350714,300073
193,350714_conf3-686688_conf4,0.5227,350714,686688
194,350714_conf2-1057366_conf4,0.3388,350714,1057366
195,350714_conf1-1344120_conf1,0.3522,350714,1344120
196,350714_conf4-625220_conf2,0.355,350714,625220
197,350714_conf1-1749378_conf4,0.3328,350714,1749378
198,180054_conf2-398455_conf1,0.4464,180054,398455
199,180054_conf5-2361_conf5,0.3985,180054,2361
200,180054_conf4-514141_conf5,0.3285,180054,514141
201,180054_conf4-514142_conf5,0.3236,180054,514142
202,180054_conf3-300073_conf5,0.2981,180054,300073
203,180054_conf2-686688_conf5,0.3804,180054,686688
204,180054_conf4-1057366_conf1,0.2553,180054,1057366
205,180054_conf1-1344120_conf4,0.3336,180054,1344120
206,180054_conf2-625220_conf1,0.4303,180054,625220
207,180054_conf2-1749378_conf5,0.2953,180054,1749378
208,398455_conf2-2361_conf3,0.3447,398455,2361
209,398455_conf2-514141_conf3,0.2894,398455,514141
210,398455_conf1-514142_conf5,0.3329,398455,514142
211,398455_conf2-300073_conf2,0.3078,398455,300073
212,398455_conf1-686688_conf5,0.3392,398455,686688
213,398455_conf1-1057366_conf1,0.2447,398455,1057366
214,398455_conf4-1344120_conf3,0.32,398455,1344120
215,398455_conf2-625220_conf2,0.3795,398455,625220
216,398455_conf5-1749378_conf5,0.3307,398455,1749378
217,2361_conf1-514141_conf4,0.3107,2361,514141
218,2361_conf4-514142_conf5,0.278,2361,514142
219,2361_conf3-300073_conf1,0.3419,2361,300073
220,2361_conf5-686688_conf2,0.4467,2361,686688
221,2361_conf2-1057366_conf5,0.2676,2361,1057366
222,2361_conf1-1344120_conf3,0.39,2361,1344120
223,2361_conf3-625220_conf2,0.4587,2361,625220
224,2361_conf4-1749378_conf2,0.368,2361,1749378
225,514141_conf4-514142_conf4,0.5612,514141,514142
226,514141_conf3-300073_conf1,0.2475,514141,300073
227,514141_conf1-686688_conf4,0.2935,514141,686688
228,514141_conf2-1057366_conf4,0.2452,514141,1057366
229,514141_conf1-1344120_conf3,0.2633,514141,1344120
230,514141_conf1-625220_conf2,0.2535,514141,625220
231,514141_conf2-1749378_conf4,0.3025,514141,1749378
232,514142_conf4-300073_conf2,0.2321,514142,300073
233,514142_conf4-686688_conf3,0.3007,514142,686688
234,514142_conf4-1057366_conf5,0.2171,514142,1057366
235,514142_conf5-1344120_conf4,0.2355,514142,1344120
236,514142_conf2-625220_conf1,0.3058,514142,625220
237,514142_conf4-1749378_conf4,0.2358,514142,1749378
238,300073_conf5-686688_conf5,0.2758,300073,686688
239,300073_conf1-1057366_conf2,0.3804,300073,1057366
240,300073_conf2-1344120_conf5,0.2669,300073,1344120
241,300073_conf3-625220_conf2,0.3105,300073,625220
242,300073_conf5-1749378_conf5,0.3137,300073,1749378
243,686688_conf2-1057366_conf4,0.2302,686688,1057366
244,686688_conf3-1344120_conf4,0.311,686688,1344120
245,686688_conf1-625220_conf3,0.387,686688,625220
246,686688_conf3-1749378_conf2,0.3393,686688,1749378
247,1057366_conf1-1344120_conf3,0.2704,1057366,1344120
248,1057366_conf5-625220_conf2,0.2833,1057366,625220
249,1057366_conf1-1749378_conf5,0.2117,1057366,1749378
250,1344120_conf3-625220_conf5,0.3409,1344120,625220
251,1344120_conf5-1749378_conf5,0.355,1344120,1749378
252,625220_conf1-1749378_conf5,0.3627,625220,1749378
