2361_conf5	112.175	686688	170.566	68.4948	0	68.4948	3	0.3197	0.6106	0.4016
2361_conf5	112.175	686751	143.674	68.0964	0	68.0964	3	0.3627	0.6071	0.474
2361_conf5	112.175	1749378	127.925	49.9836	0	49.9836	3	0.2629	0.4456	0.3907
2361_conf5	112.175	180054	154.817	65.8044	0	65.8044	3	0.3271	0.5866	0.425
2361_conf5	112.175	180149	154.817	64.332	0	64.332	3	0.3174	0.5735	0.4155
2361_conf5	112.175	2071070	116.782	49.405	0	49.405	3	0.2752	0.4404	0.4231
2361_conf5	112.175	248542	116.782	65.4338	0	65.4338	3	0.4001	0.5833	0.5603
2361_conf5	112.175	514141	255.85	67.6734	0	67.6734	3	0.2253	0.6033	0.2645
2361_conf5	112.175	514142	255.85	67.6879	0	67.6879	3	0.2254	0.6034	0.2646
2361_conf5	112.175	2091423	224.35	68.5666	0	68.5666	3	0.2559	0.6112	0.3056
2361_conf5	112.175	262350	127.925	90.4478	0	90.4478	4	0.6044	0.8063	0.707
2361_conf5	112.175	2361	112.175	91.302	0	91.302	4	0.6862	0.8139	0.8139
2361_conf5	112.175	1057366	255.85	74.5597	0	74.5597	4	0.2541	0.6647	0.2914
2361_conf5	112.175	1332919	224.35	58.7276	0	58.7276	3	0.2114	0.5235	0.2618
2361_conf5	112.175	1344120	224.35	83.2593	0	83.2593	4	0.3287	0.7422	0.3711
2361_conf5	112.175	300073	143.674	64.7359	0	64.7359	3	0.3387	0.5771	0.4506
2361_conf5	112.175	341385	127.925	65.5157	0	65.5157	3	0.3753	0.584	0.5121
2361_conf5	112.175	88308	154.817	51.4046	0	51.4046	3	0.2384	0.4583	0.332
2361_conf5	112.175	350714	154.817	88.7131	0	88.7131	4	0.4976	0.7908	0.573
2361_conf5	112.175	625220	139.067	63.1093	0	63.1093	3	0.3355	0.5626	0.4538
2361_conf5	112.175	398455	143.674	62.1376	0	62.1376	3	0.3208	0.5539	0.4325
2361_conf5	112.175	398496	143.674	66.3365	0	66.3365	3	0.35	0.5914	0.4617
2361_conf5	112.175	398497	197.458	38.6745	0	38.6745	4	0.1427	0.3448	0.1959
2361_conf5	112.175	686688	170.566	68.2608	0	68.2608	3	0.3183	0.6085	0.4002
2361_conf5	112.175	686751	143.674	68.0071	0	68.0071	3	0.362	0.6063	0.4733
2361_conf5	112.175	1749378	127.925	53.4852	0	53.4852	3	0.2866	0.4768	0.4181
2361_conf5	112.175	180054	154.817	64.1913	0	64.1913	3	0.3165	0.5722	0.4146
2361_conf5	112.175	180149	154.817	66.1668	0	66.1668	3	0.3295	0.5899	0.4274
2361_conf5	112.175	2071070	116.782	54.9801	0	54.9801	3	0.316	0.4901	0.4708
