,max_pair,max_score,phar1,phar2
98,686751_conf5-625220_conf1,0.5316,686751,625220
99,686751_conf2-1749378_conf4,0.4527,686751,1749378
100,341385_conf4-1332919_conf1,0.5263,341385,1332919
101,341385_conf3-88308_conf3,0.5263,341385,88308
102,341385_conf1-398496_conf5,0.5219,341385,398496
103,341385_conf4-262350_conf5,0.5223,341385,262350
104,341385_conf2-248542_conf4,0.4092,341385,248542
105,341385_conf5-350714_conf3,0.5226,341385,350714
106,341385_conf1-180054_conf4,0.5244,341385,180054
107,341385_conf2-398455_conf4,0.5237,341385,398455
108,341385_conf4-2361_conf5,0.522,341385,2361
109,341385_conf4-514141_conf1,0.5902,341385,514141
110,341385_conf2-514142_conf1,0.6717,341385,514142
111,341385_conf5-300073_conf5,0.5044,341385,300073
112,341385_conf2-686688_conf3,0.6587,341385,686688
113,341385_conf3-1057366_conf4,0.524,341385,1057366
114,341385_conf5-1344120_conf2,0.65,341385,1344120
115,341385_conf1-625220_conf5,0.5947,341385,625220
116,341385_conf3-1749378_conf4,0.5231,341385,1749378
117,1332919_conf3-88308_conf3,0.316,1332919,88308
118,1332919_conf3-398496_conf1,0.3489,1332919,398496
119,1332919_conf5-262350_conf1,0.3446,1332919,262350
120,1332919_conf2-248542_conf4,0.2935,1332919,248542
121,1332919_conf2-350714_conf2,0.4502,1332919,350714
122,1332919_conf2-180054_conf4,0.4298,1332919,180054
123,1332919_conf2-398455_conf5,0.4512,1332919,398455
124,1332919_conf2-2361_conf5,0.3395,1332919,2361
125,1332919_conf3-514141_conf1,0.4036,1332919,514141
126,1332919_conf2-514142_conf3,0.3975,1332919,514142
127,1332919_conf3-300073_conf2,0.4559,1332919,300073
128,1332919_conf2-686688_conf1,0.3402,1332919,686688
129,1332919_conf3-1057366_conf2,0.5364,1332919,1057366
130,1332919_conf3-1344120_conf4,0.473,1332919,1344120
131,1332919_conf3-625220_conf5,0.3987,1332919,625220
132,1332919_conf3-1749378_conf5,0.3391,1332919,1749378
